,songs
0,"Sou-sour candy  Sou-sour candy  I m sour candy So sweet, then I get a little angry, yeah Sour candy, yeah, yeah, yeah, yeah, yeah I m super psycho Make you crazy when I turn the lights low Sour candy, yeah, yeah, yeah, yeah Ask me to be nice And then I ll do it extra mean ë»ë°ì íì  íëì ë ë¹í©íê² ì§ ë¹ì¼ ì²ì´ë ë§ë¤ë¡ ë  í¬ì¥í ê±´ ëì¼, ëì¼ If you wanna fix me Then let s break up here and now ê±°ë¦¬ë ìë ëë¹ì ë ê±°ë¦´ ëëê¹ í­ ê¹ë³´ë©´ ì´ê¹ìì´ ìë¦´ ì§ë¬, wow Uh-huh, uh-huh  Oh  I m hard on the outside But if you give me time Then I could make time for your love I m hard on the outside But if you see inside, inside, inside I might be messed up But I know what s up You want a real taste At least I m not a fake Come, come, unwrap me Come, come, unwrap me I ll show you what s me Close your eyes, don t peek Now I m undressing Unwrap sour candy Come, come, unwrap me Come, come, unwrap me Come on, sour candy  Oh  I m hard on the outside But if you give me time Then I could make time for your love I m hard on the outside But if you see inside, inside, inside I m sour candy So sweet  til I get a little angry, yeah Sour candy, yeah, yeah, yeah, yeah, yeah I m super psycho Make you crazy when I turn the lights low Sour candy, yeah, yeah, yeah, yeah Take a bite, take a bite S-sour candy  Sour candy  Take a bite, take a bite  Uh  S-sour candy Take a bite, take a bite S-sour candy  Sour candy  Take a bite, take a bite  Uh  Sour candy "
1,"Lady Gaga, Ariana Grande - Rain On Me Lyrics I didn t ask for a free ride I only asked you to show me a real good time I never asked for the rainfall At least I showed up, you showed me nothing at all It s coming down on me Water like misery It s coming down on me I m ready, rain on me I d rather be dry, but at least I m alive Rain on me, rain, rain Rain on me, rain, rain I d rather be dry, but at least I m alive Rain on me, rain, rain RAIN. ON. ME. Rain on me Rain on me Living in a world where no one s innocent Oh, but at least we try Gotta live my truth, not keep it bottled in So I don t lose my mind Baby, yeah I can feel it on my skin It s coming down on me Teardrops on my face Water like misery Let it wash away my sins It s coming down on me Let it wash away I d rather be dry, but at least I m alive Rain on me, rain, rain Rain on me, rain, rain I d rather be dry, but at least I m alive Rain on me, rain, rain RAIN. ON. ME. Rain on me Rain on me Oh yeah, yeah Rain on me, ooh yeah Rain on me Rain on me Hands up to the sky I ll be your galaxy, I m about to fly Rain on me, tsunami Hands up to the sky I ll be your galaxy, I m about to fly RAIN. ON. ME. I d rather be dry, but at least I m alive Rain on me, rain, rain Rain on me, rain, rain I d rather be dry, but at least I m alive Rain on me, rain, rain RAIN. ON. ME. I hear the thunder coming down, won t you rain on me? Rain on me I hear the thunder coming down, won t you rain on me? RAIN. ON. ME. "
2,"You re the one that I ve been waiting for Gotta quit this crying Nobody s gonna heal me if I don t open the door Kinda hard to believe, gotta have faith in me Freak out, freak out, freak out, freak out  Look at me  Get down, get down, get down, get down  Look at me  Freak out, freak out, freak out, freak out Look at me now  Cause all I ever wanted was love Hey yeah yeah  Ooh ooh  Hey yeah yeah  Ooh ooh  Hey yeah yeah All I ever wanted was love Hey yeah yeah  Ooh ooh  Hey yeah yeah  Ooh ooh  Hey yeah, hey yeah yeah  Ooh yeah, ooh yeah  I want your stupid love, love I want your stupid love, love  Oh...  Now it s time to free me from the shame I gotta find that peace, is it too late Or could this love protect me from the pain? I would battle for you  Even if I break in two  Freak out, freak out, freak out, freak out  Look at me  Get down, get down, get down, get down  Look at me  Freak out, freak out, freak out, freak out Look at me now  Cause all I ever wanted was love Hey yeah yeah  Ooh ooh  Hey yeah yeah  Ooh ooh  Hey yeah yeah All I ever wanted was love Hey yeah yeah  Ooh ooh  Hey yeah yeah  Ooh ooh  Hey yeah, hey yeah yeah  Ooh yeah, ooh yeah  I want your stupid love, love I want your stupid love, love  Oh...  I don t need a reason  Oh  Not sorry, I want your stupid love I don t need a reason  Oh  Not sorry, I want your stupid love Oh yeah, oh yeah, oh... I want your stupid love, love  Oh, oh, woo  We got a stupid love, love  Oh...  I want your stupid love, love  Oh...  I want your stupid love, love "
3,"Mum-mum-mum-mah Mum-mum-mum-mah Mum-mum-mum-mah Mum-mum-mum-mah Mum-mum-mum-mah I wanna hold  em like they do in Texas, please Fold  em, let  em hit me, raise it, baby, stay with me  I love it  Love game intuition, play the cards with spades to start And after he s been hooked, I ll play the one that s on his heart Oh, whoa, oh, oh Oh, oh oh I ll get him hot, show him what I ve got Oh, whoa, oh, oh Oh, oh oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  I wanna roll with him, a hard pair we will be  hey  A little gamblin  is fun when you re with me  I love it  Russian roulette is not the same without a gun And baby, when it s love, if it s not rough, it isn t fun  fun  Oh, whoa, oh, oh Oh, oh oh I ll get him hot, show him what I ve got Oh, whoa, oh, oh Oh, oh oh I ll get him hot, show him what I ve got Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah   Mum-mum-mum-mah   Mum-mum-mum-mah  I won t tell you that I love you, kiss or hug you  Cause I m bluffin  with my muffin I m not lying, I m just stunnin  with my love-glue-gunnin  Just like a chick in the casino Take your bank before I pay you out I promise this, promise this Check this hand  cause I m marvelous Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  Can t read my, can t read my No, he can t read my poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face P-p-p-poker face, p-p-poker face  She s got me like nobody  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  P-p-p-poker face, p-p-poker face  mum-mum-mum-mah  "
4,"Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance I want your ugly, I want your disease I want your everything as long as it s free I want your love, love, love, love I want your love I want your drama, the touch of your hand I want your leather-studded kiss in the sand I want your love, love, love, love I want your love  love, love, love, I want your love  You know that I want you And you know that I need you I want it bad, your bad romance I want your love, and I want your revenge You and me could write a bad romance I want your love and all your lover s revenge You and me could write a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance I want your horror, I want your design  Cause you re a criminal as long as you re mine I want your love, love, love, love I want your love I want your psycho, your vertigo shtick Want you in my rear window, baby, you re sick I want your love, love, love, love I want your love  love, love, love, I want your love  You know that I want you And you know that I need you   cause I m a free bitch, baby  I want it bad, your bad romance I want your love, and I want your revenge You and me could write a bad romance I want your love and all your lover s revenge You and me could write a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Caught in a bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance Walk, walk, fashion baby Work it, move that bitch crazy Walk, walk, fashion baby Work it, move that bitch crazy Walk, walk, fashion baby Work it, move that bitch crazy Walk, walk, passion baby Work it, I m a free bitch, baby I want your love, and I want your revenge I want your love, I don t wanna be friends J veux ton amour, et je veux ta revanche J veux ton amour, I don t wanna be friends No, I don t wanna be friends  caught in a bad romance  I don t wanna be friends, want your bad romance Caught in a bad romance Want your bad romance I want your love, and I want your revenge You and me could write a bad romance I want your love and all your lover s revenge You and me could write a bad romance Oh-oh-oh-oh-oooh Oh-oh-oh-oh-oooh, oh-oh-oh Want your bad romance Caught in a bad romance Want your bad romance  oh-oh-oh-oh-oooh...  Want your bad romance Caught in a bad romance Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance "
5,"It doesn t matter if you love him or capital H-I-M Just put your paws up  Cause you were born this way, baby My mama told me when I was young We are all born superstars She rolled my hair and put my lipstick on In the glass of her boudoir ""There s nothing wrong with loving who you are"" She said: "" Cause He made you perfect, babe So hold your head up, girl, and you ll go far Listen to me when I say"" I m beautiful in my way  Cause God makes no mistakes I m on the right track, baby I was born this way Don t hide yourself in regret Just love yourself, and you re set I m on the right track, baby I was born this way  born this way  Ooh, there ain t no other way Baby, I was born this way Baby, I was born this way  born this way  Ooh, there ain t no other way Baby, I was born this way Right track, baby, I was born this way Don t be a drag, just be a queen Don t be a drag, just be a queen Don t be a drag, just be a queen Don t be, don t be, don t be Give yourself prudence and love your friends Subway kid, rejoice your truth In the religion of the insecure I must be myself, respect my youth A different lover is not a sin Believe capital H-I-M  hey, hey, hey  I love my life, I love this record, and Mi amore vole fe, yah  same DNA  I m beautiful in my way  Cause God makes no mistakes I m on the right track, baby I was born this way Don t hide yourself in regret Just love yourself, and you re set I m on the right track, baby I was born this way Ooh, there ain t no other way Baby, I was born this way Baby, I was born this way  born this way  Ooh, there ain t no other way Baby, I was born this way I m on the right track, baby I was born this way Don t be a drag, just be a queen Whether you re broke or evergreen You re black, white, beige, chola descent You re Lebanese, you re Orient Whether life s disabilities Left you outcast, bullied, or teased Rejoice and love yourself today  Cause, baby, you were born this way No matter gay, straight, or bi Lesbian, transgendered life I m on the right track, baby I was born to survive No matter black, white, or beige Chola or orient made I m on the right track, baby I was born to be brave I m beautiful in my way  Cause God makes no mistakes I m on the right track, baby I was born this way Don t hide yourself in regret Just love yourself, and you re set I m on the right track, baby I was born this way, yeah Ooh, there ain t no other way Baby, I was born this way Baby, I was born this way  born this way  Ooh, there ain t no other way Baby, I was born this way I m on the right track, baby I was born this way I was born this way, hey I was born this way, hey I m on the right track, baby I was born this way, hey I was born this way, hey I was born this way, hey I m on the right track, baby I was born this way, hey Same DNA, but born this way Same DNA, but born this way "
6,"You re giving me a million reasons to let you go You re giving me a million reasons to quit the show You re giving me a million reasons Give me a million reasons Giving me a million reasons About a million reasons If I had a highway, I would run for the hills If you could find a dry way, I d forever be still But you re giving me a million reasons Give me a million reasons Giving me a million reasons About a million reasons I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I ve got a hundred million reasons to walk away But, baby, I just need one good one to stay Head stuck in a cycle, I look off and I stare It s like that I ve stopped breathing, but completely aware  Cause you re giving me a million reasons Give me a million reasons Giving me a million reasons About a million reasons And if you say something that you might even mean It s hard to even fathom which parts I should believe  Cause you re giving me a million reasons Give me a million reasons Giving me a million reasons About a million reasons I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I ve got a hundred million reasons to walk away But, baby, I just need one good one to stay Oh, baby, I m bleeding, bleeding, ey... Can t you give me what I m needing, needing? Every heartbreak makes it hard to keep the faith But, baby, I just need one good one Good one, good one, good one, good one, good one When I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I ve got a hundred million reasons to walk away But, baby, I just need one good one, good one Tell me that you ll be the good one, good one Baby, I just need one good one to stay "
7,"Hello, hello, baby You called, I can t hear a thing I have got no service in the club, you say, say? Wha-wha-what did you say, huh? You re breaking up on me Sorry, I cannot hear you, I m kinda busy K-kinda busy, k-kinda busy Sorry, I cannot hear you, I m kinda busy Just a second It s my favorite song they re gonna play And I cannot text you with a drink in my hand, eh? You should ve made some plans with me You knew that I was free And now you won t stop calling me, I m kinda busy Stop calling, stop calling I don t wanna think anymore I got my head and my heart on the dance floor Stop calling, stop calling I don t wanna talk anymore I got my head and my heart on the dance floor Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephoning me Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh I m busy Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephoning me Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Can call all you want, but there s no one home And you re not gonna reach my telephone Out in the club, and I m sipping that bubb And you re not gonna reach my telephone Call when you want, but there s no one home And you re not gonna reach my telephone Out in the club, and I m sipping that bubb And you re not gonna reach my telephone Boy, the way you blowing up my phone Won t make me leave no faster Put my coat on faster Leave my girls no faster I should ve left my phone at home  Cause this is a disaster Calling like a collector Sorry, I cannot answer Not that I don t like you, I m just at a party And I am sick and tired of my phone r-ringing Sometimes I feel like I live in Grand Central Station Tonight I m not taking no calls  cause I ll be dancing  Cause I ll be dancing,  cause I ll be dancing Tonight I m not taking no calls  cause I ll be dancing Stop calling, stop calling I don t wanna think anymore I got my head and my heart on the dance floor Stop calling, stop calling I don t wanna talk anymore I got my head and my heart on the dance floor Stop calling, stop calling I don t wanna think anymore I got my head and my heart on the dance floor Stop calling, stop calling I don t wanna talk anymore I got my head and my heart on the dance floor Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephoning me Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh I m busy Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Stop telephoning me Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh Can call all you want, but there s no one home And you re not gonna reach my telephone  Cause I m out in the club, and I m sipping that bubb And you re not gonna reach my telephone Call when you want, but there s no one home And you re not gonna reach my telephone  Cause I m out in the club, and I m sipping that bubb And you re not gonna reach my telephone My telephone, m-m-my telephone  Cause I m out in the club, and I m sipping that bubb And you re not gonna reach my telephone My telephone, m-m-my telephone  Cause I m out in the club, and I m sipping that bubb And you re not gonna reach my telephone We re sorry  we re sorry  The number you have reached is not in service at this time Please check the number, or try your call again "
8,"We are the crowd We re c-coming out Got my flash on, it s true Need that picture of you It s so magical We d be so fantastico Leather and jeans Garage Glamorous Not sure what it means But this photo of us It don t have a price Ready for those flashing lights  Cause you know that, baby, I I m your biggest fan I ll follow you until you love me Papa-paparazzi Baby, there s no other superstar You know that I ll be Your papa-paparazzi Promise I ll be kind But I won t stop until that boy is mine Baby, you ll be famous Chase you down until you love me Papa-paparazzi I ll be your girl Backstage at your show Velvet ropes and guitars Yeah,  cause you re my rock star In between the sets Eyeliner and cigarettes Shadow is burnt Yellow, dance and we turn My lashes are dry Purple teardrops I cry It don t have a price Loving you is cherry pie  Cause you know that, baby, I I m your biggest fan I ll follow you until you love me Papa-paparazzi Baby, there s no other superstar You know that I ll be Your papa-paparazzi Promise I ll be kind But I won t stop until that boy is mine Baby, you ll be famous Chase you down until you love me Papa-paparazzi Real good, we dance in the studio ""Snap, snap"" to that shit on the radio Don t stop for anyone We re plastic, but we still have fun I m your biggest fan I ll follow you until you love me Papa-paparazzi Baby, there s no other superstar You know that I ll be Your papa-paparazzi Promise I ll be kind But I won t stop until that boy is mine Baby, you ll be famous Chase you down until you love me Papa-paparazzi "
9,"RedOne Konvict Gaga  oh-oh, eh  I ve had a little bit too much, much All of the people start to rush  start to rush by  A dizzy twister dance Can t find my drink or man Where are my keys? I lost my phone, phone What s going on on the floor? I love this record, baby, but I can t see straight anymore Keep it cool What s the name of this club? I can t remember, but it s alright, alright Just dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance Just j-j-just dance Wish I could shut my playboy mouth How d I turn my shirt inside out?  Inside out, right  Control your poison, babe Roses have thorns, they say And we re all gettin  hosed tonight What s going on on the floor? I love this record, baby, but I can t see straight anymore Keep it cool What s the name of this club? I can t remember, but it s alright, alright Just dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance Just j-j-just dance When I come through on the dance floor, checking out that catalogue Can t believe my eyes So many women without a flaw And I ain t gonna give it up Steady, tryna pick it up, like a call I mma hit it, I mma beat it and latch onto it until tomorrow, yeah Shorty, I can see that you got so much energy The way you twirling up them hips  round and  round And there is no reason at all why you can t leave here with me In the meantime, stay and let me watch you break it down And dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance Just j-j-just dance  Incredible... amazing... music  Wooo! Let s go! Half psychotic, sick, hypnotic, got my blueprint, it s symphonic Half psychotic, sick, hypnotic, got my blueprint, electronic Half psychotic, sick, hypnotic, got my blueprint, it s symphonic Half psychotic, sick, hypnotic, got my blueprint, electronic Go! Use your muscle, carve it out, work it, hustle  I got it, just stay close enough to get it on  Don t slow! Drive it, clean it, Lysol, bleed it Spend the last dough  I got it  in your pock-o  I got it  Just dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance Just j-j-just dance "
